"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
-63.6527192729024,-67.4561914177475,-59.8492471280573,-69.4696279486994,-57.8358105971054
-66.9647099411705,-71.1694209469155,-62.7599989354255,-73.3952605005288,-60.5341593818122
-68.0837546212337,-73.1665531451503,-63.000956097317,-75.857224152533,-60.3102850899343
-70.3622317078446,-75.9385663233085,-64.7858970923807,-78.8904995558954,-61.8339638597937
-72.0277053221477,-78.1765126830357,-65.8788979612596,-81.4314946812547,-62.6239159630406
-74.0172799836004,-80.6301947106742,-67.4043652565267,-84.1308603079249,-63.903699659276
-75.8354991902985,-82.9111420945211,-68.759856286076,-86.6567611922292,-65.0142371883678
-77.7443157342543,-85.2396236251263,-70.2490078433823,-89.2073999472607,-66.2812315212479
-79.6052325627914,-87.5052294874465,-71.7052356381363,-91.6872352434415,-67.5232298821413
-81.4914744484068,-89.7727254736215,-73.210223423192,-94.1565549592006,-68.8263939376129
-83.3643267238666,-92.0119030027477,-74.7167504449855,-96.5896533637411,-70.1390000839921
-85.2442582197034,-94.2423107869718,-76.246205652435,-99.0055920879585,-71.4829243514483
-87.1204468611506,-96.4563106795162,-77.784583042785,-101.398418454741,-72.8424752675601
-88.998614387028,-98.6602385811304,-79.3369901929257,-103.774793482525,-74.2224352915312
-90.8757356569787,-100.852615677502,-80.8988556364556,-106.134056932559,-75.6174143813983
-92.7534100928684,-103.035819988852,-82.4710001968846,-108.478998990138,-77.0278211955988
-94.6307920644114,-105.209945015688,-84.0516391131351,-110.810210301578,-78.4513738272445
-96.5083286647703,-107.376108015485,-85.6405493140556,-113.129162887915,-79.8874944416253
-98.3857835113326,-109.53472857793,-87.2368384447348,-115.436623589595,-81.3349434330706
-100.263281581942,-111.686469398871,-88.8400937650132,-117.73353975318,-82.7930234107049
-102.140756799567,-113.831758417781,-90.4497551813527,-120.020600834686,-84.2609127644484
-104.018244099793,-115.9710591918,-92.0654290077855,-122.298497289797,-85.737990909789
-105.895725011827,-118.104741099212,-93.6867089244416,-124.567803811697,-87.2236462119571
-107.773209301362,-120.233159175741,-95.3132594269828,-126.829058211023,-88.717360391701
-109.650691805178,-122.356620823953,-96.944762786404,-129.082733352673,-90.2186502576832
-111.528175253122,-124.475410916015,-98.5809395902286,-131.32926346594,-91.7270870403041
-113.405658201896,-126.589784702924,-100.221531700868,-133.569039687568,-93.2422767162243
-115.283141414586,-128.699976780761,-101.866306048411,-135.802420397349,-94.7638624318235
-117.160624487741,-130.806200738951,-103.515048236531,-138.029732465696,-96.2915165097867
-119.03810763467,-132.908653082999,-105.167562186341,-140.251276308923,-97.8249389604167
-120.915590742594,-135.007514349214,-106.823667135973,-142.467328093192,-99.3638533919946
-122.79307387114,-137.102951256559,-108.48319648572,-144.678142761589,-100.90800498069
-124.670556988782,-139.1951179344,-110.145996043164,-146.883956051325,-102.45715792624
-126.54804011219,-141.284157325564,-111.811922898816,-149.084986565764,-104.011093658615
-128.42552323255,-143.370202232011,-113.480844233088,-151.281437412647,-105.569609052452
-130.303006354521,-145.453376325704,-115.152636383337,-153.473497729449,-107.132514979593
-132.18048947564,-147.533794987241,-116.827183964038,-155.661343976872,-108.699634974407
-134.057972597209,-149.611566072684,-118.504379121735,-157.845141105839,-110.27080408858
-135.935455718541,-151.686790578439,-120.184120858642,-160.025043577389,-111.845867859693
-137.812938839998,-153.759563239433,-121.866314440563,-162.201196275897,-113.424681404099
-139.690421961389,-155.829973058146,-123.550870864631,-164.373735319011,-115.007108603766
-141.567905082815,-157.898103779492,-125.237706386138,-166.54278878347,-116.593021382159
-143.445388204222,-159.964034315241,-126.926742093203,-168.708477354444,-118.182299054
-145.322871325639,-162.027839125943,-128.617903525335,-170.870914909499,-119.774827741779
-147.200354447051,-164.089588564599,-130.311120329503,-173.030209044273,-121.37049984983
-149.077837568466,-166.149349187109,-132.006325949823,-175.186461547227,-122.969213589704
-150.955320689879,-168.207184033112,-133.703457346646,-177.339768829174,-124.570872550584
-152.832803811293,-170.26315288071,-135.402454741877,-179.490222312826,-126.17538530976
-154.710286932707,-172.317312477921,-137.103261387492,-181.637908786793,-127.782665078621
-156.587770054121,-174.369716753455,-138.805823354786,-183.782910727914,-129.392629380327
