"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
-70.6356521952158,-73.617343371014,-67.6539610194177,-75.195755334805,-66.0755490556267
-73.9740717033767,-77.5443998151871,-70.4037435915663,-79.4344173502298,-68.5137260565236
-76.0312290219661,-80.8148389893264,-71.2476190546057,-83.3471291419342,-68.7153289019979
-78.8052178172808,-84.5336802393191,-73.0767553952425,-87.5661450681597,-70.0442905664019
-81.1781588253381,-88.063409268592,-74.2929083820841,-91.708240685588,-70.6480769650881
-83.7754752031807,-91.7871227139513,-75.7638276924102,-96.0282327200173,-71.5227176863442
-86.2472596415241,-95.4815954216172,-77.012923861431,-100.369957499913,-72.1245617831349
-88.7892757984805,-99.2737620819483,-78.3047895150127,-104.82391386103,-72.7546377359312
-91.2919992119406,-103.088464868362,-79.4955335555193,-109.3331365747,-73.2508618491812
-93.8167058506721,-106.966303942809,-80.6671077585349,-113.927280691891,-73.7061310094535
-96.3291134705433,-110.881880910298,-81.776346030789,-118.585650643267,-74.0725762978196
-98.8484020582005,-114.847490345036,-82.8493137713654,-123.316896085866,-74.3799080305351
-101.363840930835,-118.854150838711,-83.8735310229585,-128.112961621358,-74.6147202403114
-103.881433614709,-122.90507532335,-84.8577919060681,-132.975582930414,-74.7872842990039
-106.397821299556,-126.996696611076,-85.7989459880366,-137.901082516714,-74.8945600823979
-108.914883148707,-131.129396543653,-86.7003697537607,-142.889049587866,-74.9407167095477
-111.431567821198,-135.301431637474,-87.5617040049219,-147.937374262077,-74.9257613803187
-113.94846351381,-139.512354495829,-88.3845725317905,-153.04506093256,-74.8518660950598
-116.465241146382,-143.761074712048,-89.169407580716,-158.210616170734,-74.71986612203
-118.982084830347,-148.04694456002,-89.917225100674,-163.432951902293,-74.5312177584008
-121.498891560348,-152.369140150124,-90.628642970571,-168.710862624539,-74.2869204961564
-124.01571896509,-156.727003670582,-91.304434259598,-174.043311794377,-73.9881261358032
-126.532534802875,-161.119845044833,-91.9452245609168,-179.429261098506,-73.6358085072431
-129.049357112059,-165.547048460862,-92.5516657632562,-184.867759184795,-73.2309550393232
-131.56617580067,-170.008007885855,-93.1243437154859,-190.357884548402,-72.7744670529386
-134.082996514894,-174.502159235967,-93.6638337938207,-195.898771508624,-72.2672215211639
-136.599816095843,-179.028958613959,-94.1706735777266,-201.489589918627,-71.7100422730582
-139.116636310828,-183.587891229531,-94.6453813921247,-207.129551539033,-71.1037210826232
-141.633456171087,-188.178463402183,-95.0884489399906,-212.817901874088,-70.4490104680863
-144.150276229806,-192.800204356395,-95.5003481032163,-218.553920641927,-69.7466318176847
-146.667096177491,-197.452662771483,-95.8815295835002,-224.336917770963,-68.9972745840198
-149.183916187297,-202.135406503468,-96.2324258711261,-230.166232262354,-68.2016001122403
-151.700736162349,-206.848020727103,-96.5534515975944,-236.041229746911,-67.3602425777866
-154.217556156844,-211.590107143944,-96.8450051697439,-241.961301051041,-66.473811262647
-156.734376140461,-216.361282751911,-97.1074695290118,-247.92586043966,-65.5428918412625
-159.251196130164,-221.161179003836,-97.3412132564928,-253.934344259536,-64.5680480007925
-161.768016116463,-225.989440875755,-97.5465913571706,-259.986209553393,-63.5498226795318
-164.284836104666,-230.845726100734,-97.7239461085972,-266.080932866319,-62.4887393430123
-166.801656091803,-235.729704413186,-97.8736077704206,-272.218009102255,-61.3853030813517
-169.318476079537,-240.641056880434,-97.9958952786397,-278.396950494885,-60.2400016641885
-171.835296066937,-245.579475269453,-98.0911168644212,-284.617285642969,-59.053306490905
-174.352116054524,-250.544661469973,-98.1595706390746,-290.878558625918,-57.8256734831299
-176.868936042006,-255.536326954956,-98.2015451290564,-297.180328179858,-56.5575439041539
-179.385756029547,-260.554192282756,-98.2173197763376,-303.522166935588,-55.2493451235053
-181.902576017055,-265.597986632899,-98.2071654012109,-309.903660708982,-53.9014913251283
-184.419396004581,-270.66744737495,-98.1713446342129,-316.324407841422,-52.5143841677404
-186.936215992098,-275.762319666247,-98.1101123179479,-322.784018584708,-51.0884133994867
-189.453035979619,-280.882356076814,-98.0237158824244,-329.282114527337,-49.6239574319019
-191.969855967138,-286.027316238748,-97.9123956955283,-335.818328058327,-48.121383875949
-194.486675954659,-291.196966518315,-97.7763853910023,-342.392301865717,-46.5810500436008
