,Value
0,0.3844395972558006
1,0.38575267490784515
2,0.3870702374592929
3,0.38848082406104645
4,0.3898965512144841
5,0.3914540409133117
6,0.3930177521961835
7,0.3947197740174742
8,0.39642916669736844
9,0.39830847634734434
10,0.4001966950409961
11,0.40227276568969067
12,0.4043596062157775
13,0.40666922191621646
14,0.4089920296482078
15,0.411574286890932
16,0.4141728477581384
17,0.4170811111850006
18,0.4200097960282008
19,0.42330842814573466
20,0.4266329667396167
21,0.4304037109186147
22,0.43420778236665164
23,0.4385516635668268
24,0.4429390016202587
25,0.44798263232157404
26,0.4530836935281242
27,0.45898559231839986
28,0.46496436964089405
29,0.4719249847088221
30,0.4789898016582004
31,0.4872645206193475
32,0.49568218828973426
33,0.505599733530949
34,0.5157157077372048
35,0.5277032409457844
36,0.5399694178921266
37,0.5545875641340311
38,0.5696014553801321
39,0.5875933763255656
40,0.6061536055438261
41,0.6285150908683651
42,0.6517015090504279
43,0.6797829984614416
44,0.7090745050913658
45,0.7447330730962021
46,0.7821848708153004
47,0.8280160903286918
48,0.8765327372396948
49,0.9362332707395603
